word,antonym
apteral,peripteral
aquatic,terrestrial
aqueous,igneous
arbitrable,nonarbitrable
arbitrary,nonarbitrary
arboreal,nonarboreal
arboreous,nonarboreal
arenaceous,argillaceous
argillaceous,arenaceous
argumentative,unargumentative
armed,disarm
armed,unarmed|armless|unarmed
armless,armed
armored,unarmored|unarmored
armoured,unarmored|unarmored
aroused,fall asleep|sedate;de-energize;de-energise|cause to sleep
arranged,disarrange
arranged,disarranged
artesian,subartesian
artful,ingenuous|artless
articulate,inarticulate|unarticulated
articulated,unarticulated
artificial,natural
artiodactyl,odd-toed ungulate
artless,disingenuous|artful
ascendant,descendant
ascendent,descendant
ascending,descend|set
ascending,descending
asexual,sexual
ashamed,unashamed
asleep,awake
asserting,interrogative;interrogatory
assertive,unassertive
assigned,unassigned
assimilating,dissimilate|dissimilate|dissimilate
assisted,unassisted
associate,dissociate
associative,nonassociative
associatory,nonassociative
assured,worry
assuring,worry
astigmatic,anastigmatic
astomatous,stomatous
astringent,nonastringent
asymmetric,symmetrical
asymmetrical,symmetrical
asynchronous,synchronous|synchronous
asyndetic,syndetic
atomic,conventional
atomistic,holistic
atomistical,holistic
atonal,tonal
atonic,tonic
atoxic,toxic
atrophied,hypertrophied
attachable,detachable
attached,detach|detach
attached,detached|unattached
attacking,defend
attended,miss
attended,unaccompanied
attentive,inattentive|heedless
attired,underdress;dress down
attractive,unattractive|repulsive
attributable,unattributable
attributive,predicative
atypical,typical
audible,inaudible
auspicious,inauspicious
authorised,unauthorized
authorized,unauthorized
autochthonous,allochthonous
autoecious,heteroecious
autogamic,endogamous
autogamous,endogamous
autogenic,heterogenous
autogenous,heterogenous
autologous,homologous
automatic,manual
autophytic,heterotrophic
autotrophic,heterotrophic
autumnal,wintry
available,unavailable
avascular,vascular
avenged,unavenged
avertable,inevitable
avertible,inevitable
avirulent,virulent
avoidable,inevitable
avowed,disavow
awake,fall asleep
awake,asleep
awakened,cause to sleep|fall asleep
awakened,unawakened
aware,unaware|unmindful
away,home
awed,unawed
awestricken,unawed
awestruck,unawed
awful,nice
awkward,graceful
awned,awnless
awnless,awned
awny,awnless
azonal,zonal
back,front|front
back,advance|front|veer
back,front
back,forward|ahead;forward
backed,advance|front|veer
backed,backless
backhand,forehand
backhanded,forehand
backless,backed
backward,forward|forward
backward,forward|ahead;forward
bad,good;goodness
bad,good|unregretful
balanced,unbalance
balanced,unbalanced
balconied,unbalconied
banded,unbanded
baptised,unbaptized
baptized,unbaptized
bare,sheathed|covered
bared,unbar
barred,unbar
barreled,unbarreled
barrelled,unbarreled
basal,cauline
basic,incidental
basipetal,acropetal
basiscopic,acroscopic
beaked,beakless
beakless,beaked
bearing,nonbearing
beautiful,ugly
bedded,get up;turn out
bedded,unstratified|bedless
bedless,bedded
beginning,ending|middle|middle|finish
beginning,end|end|end
begrimed,clean
believable,incredible
belittled,flatter
belittling,flatter
bellied,bellyless
bellyless,bellied
below the belt,fairly
belted,unbelt
belted,unbelted
beltless,belted
bended,straighten|unbend
beneficed,unbeneficed
beneficent,maleficent
benign,malignant|malign
benignant,malign
bent,straighten|unbend
beseeching,imperative
best,worst
best,worst|bad|evil
best,ill|ill|badly|badly;disadvantageously|badly
better,worsen|worsen
better,worse|worse|bad|evil|ill
better,ill|ill|badly|badly;disadvantageously|badly
bettering,worsen|worsen
bettering,worsening
biaural,monaural
bibbed,bibless
bibless,bibbed
bicameral,unicameral
bidirectional,unidirectional
biennial,perennial
big,small;little
big,small
bigger,small;little
bilaterally symmetrical,actinomorphic
bimodal,unimodal
binaural,monaural
binding,unbind|untie
binuclear,trinucleate
binucleate,trinucleate
binucleated,trinucleate
biological,adoptive
biovular,identical
biped,quadrupedal;quadruped
bipedal,quadrupedal;quadruped
bipolar,unipolar
bisexual,heterosexual
bivalent,multivalent
bivalve,univalve
bivalved,univalve
black,white|white
black,whiten
black,white|white
black-and-white,color
black and white,color
blackened,whiten
blame,absolve
blamed,absolve
blear,focus
blemished,unblemished
